variable,value
gamma_build,133.4091330909759
wwr_N,0.6995839001729991
wwr_E,0.5964806175181568
wwr_S,0.5939380986241872
wwr_W,0.47703433023161923
veg_cover_S,0.7796769254663024
veg_cover_W,0.35918279321785535
jJ_SU,1.0
SHGC,0.5095612813519642
VT,0.7980716215792796
d_oh,0.0014686225923811176
h_fin,0.02460551088463881
E_dir_in_th,748.9768912865218
alpha_summer,28.91687415324276
alpha_winter,42.29944787062108
m_mass,1.6434791046529293
