time,T_out,T_in,Q_solar_total,Cooling_Load_W,Heating_Load_W,SDI,Mask_Target
2023-01-01 00:00:00,5.2582003423375205,22.0,9561.199097828168,0.0,0.0,0.0,0
2023-01-01 01:00:00,5.2582003423375205,17.0,10553.836640887854,0.0,23544.0,-10553.836640887854,0
2023-01-01 02:00:00,5.2582003423375205,22.0,10336.942524584603,0.0,0.0,0.0,0
2023-01-01 03:00:00,5.2582003423375205,17.0,8844.067332852863,0.0,23544.0,-8844.067332852863,0
2023-01-01 04:00:00,5.2582003423375205,22.0,5436.6234358372785,0.0,0.0,0.0,0
2023-01-01 05:00:00,5.2582003423375205,17.0,6501.89542493067,0.0,23544.0,-6501.89542493067,0
2023-01-01 06:00:00,5.2582003423375205,22.0,9729.02568959209,0.0,0.0,0.0,0
2023-01-01 07:00:00,5.2582003423375205,17.0,11169.793230205052,0.0,23544.0,-11169.793230205052,0
2023-01-01 08:00:00,5.2582003423375205,21.15170220721958,11607.502318069308,0.0,0.0,0.0,0
2023-01-01 09:00:00,5.2582003423375205,16.15170220721958,35857.913454633956,0.0,30201.441077740747,-35857.913454633956,0
2023-01-01 10:00:00,5.2582003423375205,21.15170220721958,26666.973922062592,0.0,0.0,0.0,0
2023-01-01 11:00:00,5.2582003423375205,16.15170220721958,15614.291967532412,0.0,30201.441077740747,-15614.291967532412,0
2023-01-01 12:00:00,5.2582003423375205,21.15170220721958,6606.985240187753,0.0,0.0,0.0,0
2023-01-01 13:00:00,5.2582003423375205,16.15170220721958,6301.395373424006,0.0,30201.441077740747,-6301.395373424006,0
2023-01-01 14:00:00,5.2582003423375205,19.77578487016129,5710.731239424221,0.0,1759.640338974207,-5710.731239424221,0
2023-01-01 15:00:00,5.2582003423375205,14.775784870161289,11538.293459149894,0.0,40999.640338974204,-11538.293459149894,0
2023-01-01 16:00:00,5.2582003423375205,19.77578487016129,10851.714972608219,0.0,1759.640338974207,-10851.714972608219,0
2023-01-01 17:00:00,5.2582003423375205,14.775784870161289,8927.080045784787,0.0,40999.640338974204,-8927.080045784787,0
2023-01-01 18:00:00,5.2582003423375205,19.77578487016129,4963.220769420179,0.0,1759.640338974207,-4963.220769420179,0
2023-01-01 19:00:00,5.2582003423375205,14.775784870161289,6804.365899501709,0.0,40999.640338974204,-6804.365899501709,0
2023-01-01 20:00:00,5.2582003423375205,19.77578487016129,9495.73558742848,0.0,1759.640338974207,-9495.73558742848,0
2023-01-01 21:00:00,5.2582003423375205,14.775784870161289,10536.470572416292,0.0,40999.640338974204,-10536.470572416292,0
2023-01-01 22:00:00,5.2582003423375205,19.77578487016129,10384.053159158237,0.0,1759.640338974207,-10384.053159158237,0
2023-01-01 23:00:00,5.2582003423375205,14.775784870161289,8940.968464803398,0.0,40999.640338974204,-8940.968464803398,0
2023-01-02 00:00:00,5.516324174341186,19.77578487016129,9552.192664117027,0.0,1759.640338974207,-9552.192664117027,0
2023-01-02 01:00:00,5.516324174341186,14.775784870161289,10556.834162504663,0.0,40999.640338974204,-10556.834162504663,0
2023-01-02 02:00:00,5.516324174341186,19.77578487016129,10351.593535484913,0.0,1759.640338974207,-10351.593535484913,0
2023-01-02 03:00:00,5.516324174341186,14.775784870161289,8875.243451166178,0.0,40999.640338974204,-8875.243451166178,0
2023-01-02 04:00:00,5.516324174341186,19.77578487016129,5493.556541644031,0.0,1759.640338974207,-5493.556541644031,0
2023-01-02 05:00:00,5.516324174341186,14.775784870161289,6452.288375589068,0.0,40999.640338974204,-6452.288375589068,0
2023-01-02 06:00:00,5.516324174341186,19.643153327910863,9705.406341790369,0.0,2800.532682555549,-9705.406341790369,0
2023-01-02 07:00:00,5.516324174341186,14.643153327910863,11161.283151292748,0.0,42040.532682555546,-11161.283151292748,0
2023-01-02 08:00:00,5.516324174341186,19.643153327910863,11606.183189470008,0.0,2800.532682555549,-11606.183189470008,0
2023-01-02 09:00:00,5.516324174341186,14.643153327910863,35847.02400950455,0.0,42040.532682555546,-35847.02400950455,0
2023-01-02 10:00:00,5.516324174341186,19.643153327910863,26670.49245416151,0.0,2800.532682555549,-26670.49245416151,0
2023-01-02 11:00:00,5.516324174341186,14.643153327910863,15622.827954478642,0.0,42040.532682555546,-15622.827954478642,0
2023-01-02 12:00:00,5.516324174341186,19.643153327910863,6593.125662149698,0.0,2800.532682555549,-6593.125662149698,0
2023-01-02 13:00:00,5.516324174341186,14.643153327910863,6290.145497622458,0.0,42040.532682555546,-6290.145497622458,0
2023-01-02 14:00:00,5.516324174341186,19.56261186360728,5698.421092553271,0.0,3432.622094410064,-5698.421092553271,0
2023-01-02 15:00:00,5.516324174341186,14.56261186360728,11539.988955471295,0.0,42672.622094410064,-11539.988955471295,0
2023-01-02 16:00:00,5.516324174341186,19.56261186360728,10857.720310209006,0.0,3432.622094410064,-10857.720310209006,0
2023-01-02 17:00:00,5.516324174341186,14.56261186360728,8940.057893756753,0.0,42672.622094410064,-8940.057893756753,0
2023-01-02 18:00:00,5.516324174341186,19.56261186360728,4983.526407896157,0.0,3432.622094410064,-4983.526407896157,0
2023-01-02 19:00:00,5.516324174341186,14.56261186360728,6793.574400880526,0.0,42672.622094410064,-6793.574400880526,0
2023-01-02 20:00:00,5.516324174341186,19.56261186360728,9494.393158754916,0.0,3432.622094410064,-9494.393158754916,0
2023-01-02 21:00:00,5.516324174341186,14.56261186360728,10541.150252646701,0.0,42672.622094410064,-10541.150252646701,0
2023-01-02 22:00:00,5.516324174341186,19.56261186360728,10395.490330954588,0.0,3432.622094410064,-10395.490330954588,0
