time,T_out,T_in,Q_solar_total,Cooling_Load_W,Heating_Load_W,SDI,Mask_Target
2023-01-01 00:00:00,5.2582003423375205,22.0,7165.766720842835,0.0,0.0,0.0,0
2023-01-01 01:00:00,5.2582003423375205,17.0,7909.712014643066,0.0,23544.0,-7909.712014643066,0
2023-01-01 02:00:00,5.2582003423375205,22.0,7747.157859599325,0.0,0.0,0.0,0
2023-01-01 03:00:00,5.2582003423375205,17.0,6628.302864757397,0.0,23544.0,-6628.302864757397,0
2023-01-01 04:00:00,5.2582003423375205,22.0,4074.549111640844,0.0,0.0,0.0,0
2023-01-01 05:00:00,5.2582003423375205,17.0,4872.931248649729,0.0,23544.0,-4872.931248649729,0
2023-01-01 06:00:00,5.2582003423375205,21.9279901786172,7291.546572703419,0.0,0.0,0.0,0
2023-01-01 07:00:00,5.2582003423375205,16.9279901786172,8371.348801415515,0.0,24109.13307821221,-8371.348801415515,0
2023-01-01 08:00:00,5.2582003423375205,20.870530133278386,8699.395648169353,0.0,0.0,0.0,0
2023-01-01 09:00:00,5.2582003423375205,15.870530133278386,27062.520546602434,0.0,32408.079514031226,-27062.520546602434,0
2023-01-01 10:00:00,5.2582003423375205,20.870530133278386,20328.989448155444,0.0,0.0,0.0,0
2023-01-01 11:00:00,5.2582003423375205,15.870530133278386,11929.84164359341,0.0,32408.079514031226,-11929.84164359341,0
2023-01-01 12:00:00,5.2582003423375205,20.870530133278386,4951.692196221648,0.0,0.0,0.0,0
2023-01-01 13:00:00,5.2582003423375205,15.870530133278386,4722.663841610785,0.0,32408.079514031226,-4722.663841610785,0
2023-01-01 14:00:00,5.2582003423375205,20.55013392132297,4279.9828189373275,0.0,0.0,0.0,0
2023-01-01 15:00:00,5.2582003423375205,15.55013392132297,8647.526156387208,0.0,34922.548985457324,-8647.526156387208,0
2023-01-01 16:00:00,5.2582003423375205,20.55013392132297,8132.9608576450755,0.0,0.0,0.0,0
2023-01-01 17:00:00,5.2582003423375205,15.55013392132297,6690.5178369222995,0.0,34922.548985457324,-6690.5178369222995,0
2023-01-01 18:00:00,5.2582003423375205,20.480585553274032,3719.7512418485003,0.0,0.0,0.0,0
2023-01-01 19:00:00,5.2582003423375205,15.480585553274032,5099.621733655006,0.0,35468.36457790539,-5099.621733655006,0
2023-01-01 20:00:00,5.2582003423375205,19.350169750116848,7116.704229888308,0.0,5099.867801082977,-7116.704229888308,0
2023-01-01 21:00:00,5.2582003423375205,14.350169750116848,7896.696785668946,0.0,44339.867801082975,-7896.696785668946,0
2023-01-01 22:00:00,5.2582003423375205,19.350169750116848,7782.465545797619,0.0,5099.867801082977,-7782.465545797619,0
2023-01-01 23:00:00,5.2582003423375205,14.350169750116848,6700.926695663804,0.0,44339.867801082975,-6700.926695663804,0
2023-01-02 00:00:00,5.516324174341186,19.350169750116848,7159.0167303551925,0.0,5099.867801082977,-7159.0167303551925,0
2023-01-02 01:00:00,5.516324174341186,14.350169750116848,7911.958546738777,0.0,44339.867801082975,-7911.958546738777,0
2023-01-02 02:00:00,5.516324174341186,19.350169750116848,7758.138252880747,0.0,5099.867801082977,-7758.138252880747,0
2023-01-02 03:00:00,5.516324174341186,14.350169750116848,6651.668217660188,0.0,44339.867801082975,-6651.668217660188,0
2023-01-02 04:00:00,5.516324174341186,19.350169750116848,4117.218378406445,0.0,5099.867801082977,-4117.218378406445,0
2023-01-02 05:00:00,5.516324174341186,14.350169750116848,4835.752591490293,0.0,44339.867801082975,-4835.752591490293,0
2023-01-02 06:00:00,5.516324174341186,19.350169750116848,7273.844741090685,0.0,5099.867801082977,-7273.844741090685,0
2023-01-02 07:00:00,5.516324174341186,14.350169750116848,8364.970810575916,0.0,44339.867801082975,-8364.970810575916,0
2023-01-02 08:00:00,5.516324174341186,19.350169750116848,8698.407009848921,0.0,5099.867801082977,-8698.407009848921,0
2023-01-02 09:00:00,5.516324174341186,14.350169750116848,27058.59679232909,0.0,44339.867801082975,-27058.59679232909,0
2023-01-02 10:00:00,5.516324174341186,19.350169750116848,20335.754575168772,0.0,5099.867801082977,-20335.754575168772,0
2023-01-02 11:00:00,5.516324174341186,14.350169750116848,11938.91389271414,0.0,44339.867801082975,-11938.91389271414,0
2023-01-02 12:00:00,5.516324174341186,19.350169750116848,4941.304952733268,0.0,5099.867801082977,-4941.304952733268,0
2023-01-02 13:00:00,5.516324174341186,14.350169750116848,4714.23247387045,0.0,44339.867801082975,-4714.23247387045,0
2023-01-02 14:00:00,5.516324174341186,19.350169750116848,4270.75681706518,0.0,5099.867801082977,-4270.75681706518,0
2023-01-02 15:00:00,5.516324174341186,14.350169750116848,8648.796868459085,0.0,44339.867801082975,-8648.796868459085,0
2023-01-02 16:00:00,5.516324174341186,19.350169750116848,8137.461637085691,0.0,5099.867801082977,-8137.461637085691,0
2023-01-02 17:00:00,5.516324174341186,14.350169750116848,6700.244256187723,0.0,44339.867801082975,-6700.244256187723,0
2023-01-02 18:00:00,5.516324174341186,19.350169750116848,3734.969570318376,0.0,5099.867801082977,-3734.969570318376,0
2023-01-02 19:00:00,5.516324174341186,14.350169750116848,5091.533902735842,0.0,44339.867801082975,-5091.533902735842,0
2023-01-02 20:00:00,5.516324174341186,19.350169750116848,7115.698129020026,0.0,5099.867801082977,-7115.698129020026,0
2023-01-02 21:00:00,5.516324174341186,14.350169750116848,7900.20403371557,0.0,44339.867801082975,-7900.20403371557,0
2023-01-02 22:00:00,5.516324174341186,19.350169750116848,7791.037284990611,0.0,5099.867801082977,-7791.037284990611,0
