phi,HDD18,CDD24,Cloud_proxy,Humid_proxy,T_range,S_spring,S_summer,S_autumn,S_winter,location,season
22.46889,365.20000000000005,2380.2999999999997,0.5400603481781928,80.6009963768116,6.455434782608696,352352,0,0,0,HKG,spring
22.46889,0.0,10131.300000000001,0.4848638133803805,82.8822463768116,4.915217391304348,0,415896,0,0,HKG,summer
22.46889,13.000000000000004,4526.5,0.4552971680115451,75.84706959706959,6.157142857142857,0,0,412550,0,HKG,autumn
22.46889,5209.1,45.00000000000001,0.5581227564121393,75.20416666666667,6.015555555555555,0,0,0,297616,HKG,winter
59.9422,26847.5,0.0,0.5415413908687452,68.76992753623189,8.964130434782607,454356,0,0,0,NOR,spring
59.9422,5399.099999999999,295.5,0.5153179222963857,70.51766304347827,9.403260869565218,0,512749,0,0,NOR,summer
59.9422,23300.800000000003,0.0,0.6331841706334291,78.95100732600733,6.385714285714286,0,0,210374,0,NOR,autumn
59.9422,43208.399999999994,0.0,0.7218712262804816,86.61666666666666,4.423333333333334,0,0,0,99110,NOR,winter
