time,T_out,T_in,Q_solar_total,Cooling_Load_W,SDI,Mask_Target
2023-04-08 00:00:00,29.96628424633707,24.657704633663972,3058.37063696077,5161.665964994851,3058.37063696077,1
2023-04-08 01:00:00,29.96628424633707,29.657704633663972,10172.979892946834,44401.66596499485,10172.979892946834,1
2023-04-08 02:00:00,29.96628424633707,24.657704633663972,16444.138437877693,5161.665964994851,16444.138437877693,1
2023-04-08 03:00:00,29.96628424633707,29.657704633663972,19544.0526893088,44401.66596499485,19544.0526893088,1
2023-04-08 04:00:00,29.96628424633707,24.657704633663972,18000.97119891163,5161.665964994851,18000.97119891163,1
2023-04-08 05:00:00,29.96628424633707,29.657704633663972,20643.598443253948,44401.66596499485,20643.598443253948,1
2023-04-08 06:00:00,29.96628424633707,24.657704633663972,26590.408739126906,5161.665964994851,26590.408739126906,1
2023-04-08 07:00:00,29.96628424633707,29.657704633663972,27818.52022730869,44401.66596499485,27818.52022730869,1
2023-04-08 08:00:00,29.96628424633707,24.657704633663972,24344.8547983975,5161.665964994851,24344.8547983975,1
2023-04-08 09:00:00,29.96628424633707,29.657704633663972,18348.29971926265,44401.66596499485,18348.29971926265,1
2023-04-08 10:00:00,29.96628424633707,24.657704633663972,16439.463842937184,5161.665964994851,16439.463842937184,1
2023-04-08 11:00:00,29.96628424633707,29.657704633663972,8926.04803078127,44401.66596499485,8926.04803078127,1
2023-04-08 12:00:00,29.96628424633707,24.657704633663972,10721.53282260651,5161.665964994851,10721.53282260651,1
2023-04-08 13:00:00,29.96628424633707,29.657704633663972,11880.36316205216,44401.66596499485,11880.36316205216,1
2023-04-08 14:00:00,29.96628424633707,24.657704633663972,12432.324016207343,5161.665964994851,12432.324016207343,1
2023-04-08 15:00:00,29.96628424633707,29.657704633663972,12155.935633159532,44401.66596499485,12155.935633159532,1
2023-04-08 16:00:00,29.96628424633707,24.657704633663972,10465.360290913728,5161.665964994851,10465.360290913728,1
2023-04-08 17:00:00,29.96628424633707,29.657704633663972,10876.38346972951,44401.66596499485,10876.38346972951,1
2023-04-08 18:00:00,29.96628424633707,24.657704633663972,12284.333524069409,5161.665964994851,12284.333524069409,1
2023-04-08 19:00:00,29.96628424633707,29.657704633663972,12399.571341898245,44401.66596499485,12399.571341898245,1
2023-04-08 20:00:00,29.96628424633707,24.657704633663972,11751.60002050277,5161.665964994851,11751.60002050277,1
2023-04-08 21:00:00,29.96628424633707,29.657704633663972,10510.09657367794,44401.66596499485,10510.09657367794,1
2023-04-08 22:00:00,29.96628424633707,24.657704633663972,8626.61306166227,5161.665964994851,8626.61306166227,1
2023-04-08 23:00:00,29.96628424633707,29.657704633663972,2959.1784501685856,44401.66596499485,2959.1784501685856,1
2023-04-09 00:00:00,29.955570319967272,24.657704633663972,2947.741667522953,5161.665964994851,2947.741667522953,1
2023-04-09 01:00:00,29.955570319967272,29.657704633663972,10002.5864121193,44401.66596499485,10002.5864121193,1
2023-04-09 02:00:00,29.955570319967272,24.657704633663972,16173.172763928489,5161.665964994851,16173.172763928489,1
2023-04-09 03:00:00,29.955570319967272,29.657704633663972,19167.859330807816,44401.66596499485,19167.859330807816,1
2023-04-09 04:00:00,29.955570319967272,24.657704633663972,17546.88512850319,5161.665964994851,17546.88512850319,1
2023-04-09 05:00:00,29.955570319967272,29.657704633663972,20198.033903331358,44401.66596499485,20198.033903331358,1
2023-04-09 06:00:00,29.955570319967272,24.657704633663972,26122.229871474938,5161.665964994851,26122.229871474938,1
2023-04-09 07:00:00,29.955570319967272,29.657704633663972,27367.081155420754,44401.66596499485,27367.081155420754,1
2023-04-09 08:00:00,29.955570319967272,24.657704633663972,23964.36625513628,5161.665964994851,23964.36625513628,1
2023-04-09 09:00:00,29.955570319967272,29.657704633663972,18079.527881992915,44401.66596499485,18079.527881992915,1
2023-04-09 10:00:00,29.955570319967272,24.657704633663972,16683.734616724803,5161.665964994851,16683.734616724803,1
2023-04-09 11:00:00,29.955570319967272,29.657704633663972,9064.544297763965,44401.66596499485,9064.544297763965,1
2023-04-09 12:00:00,29.955570319967272,24.657704633663972,10821.756800678108,5161.665964994851,10821.756800678108,1
2023-04-09 13:00:00,29.955570319967272,29.657704633663972,11952.07240782283,44401.66596499485,11952.07240782283,1
2023-04-09 14:00:00,29.955570319967272,24.657704633663972,12483.372639638677,5161.665964994851,12483.372639638677,1
2023-04-09 15:00:00,29.955570319967272,29.657704633663972,12191.343050927426,44401.66596499485,12191.343050927426,1
2023-04-09 16:00:00,29.955570319967272,24.657704633663972,10488.42311374373,5161.665964994851,10488.42311374373,1
2023-04-09 17:00:00,29.955570319967272,29.657704633663972,10922.334336016916,44401.66596499485,10922.334336016916,1
2023-04-09 18:00:00,29.955570319967272,24.657704633663972,12327.81119586415,5161.665964994851,12327.81119586415,1
2023-04-09 19:00:00,29.955570319967272,29.657704633663972,12450.369138166483,44401.66596499485,12450.369138166483,1
2023-04-09 20:00:00,29.955570319967272,24.657704633663972,11818.226813142935,5161.665964994851,11818.226813142935,1
2023-04-09 21:00:00,29.955570319967272,29.657704633663972,10600.949973680079,44401.66596499485,10600.949973680079,1
2023-04-09 22:00:00,29.955570319967272,24.657704633663972,8750.643949598732,5161.665964994851,8750.643949598732,1
2023-04-09 23:00:00,29.955570319967272,29.657704633663972,3031.444204823587,44401.66596499485,3031.444204823587,1
2023-04-10 00:00:00,29.943387951161704,24.657704633663972,2836.4402212264413,5161.665964994851,2836.4402212264413,1
2023-04-10 01:00:00,29.943387951161704,29.657704633663972,9833.017976256746,44401.66596499485,9833.017976256746,1
2023-04-10 02:00:00,29.943387951161704,24.657704633663972,15903.66283983211,5161.665964994851,15903.66283983211,1
2023-04-10 03:00:00,29.943387951161704,29.657704633663972,18793.504212713127,44401.66596499485,18793.504212713127,1
2023-04-10 04:00:00,29.943387951161704,24.657704633663972,17095.197724905327,5161.665964994851,17095.197724905327,1
2023-04-10 05:00:00,29.943387951161704,29.657704633663972,19754.252845759733,44401.66596499485,19754.252845759733,1
2023-04-10 06:00:00,29.943387951161704,24.657704633663972,25656.541081320094,5161.665964994851,25656.541081320094,1
2023-04-10 07:00:00,29.943387951161704,29.657704633663972,26919.739801243733,44401.66596499485,26919.739801243733,1
2023-04-10 08:00:00,29.943387951161704,24.657704633663972,23589.778018965902,5161.665964994851,23589.778018965902,1
2023-04-10 09:00:00,29.943387951161704,29.657704633663972,17817.77387134114,44401.66596499485,17817.77387134114,1
2023-04-10 10:00:00,29.943387951161704,24.657704633663972,16928.043411713286,5161.665964994851,16928.043411713286,1
2023-04-10 11:00:00,29.943387951161704,29.657704633663972,9199.34557067265,44401.66596499485,9199.34557067265,1
2023-04-10 12:00:00,29.943387951161704,24.657704633663972,10919.033858263425,5161.665964994851,10919.033858263425,1
2023-04-10 13:00:00,29.943387951161704,29.657704633663972,12021.450094852935,44401.66596499485,12021.450094852935,1
2023-04-10 14:00:00,29.943387951161704,24.657704633663972,12532.547205877347,5161.665964994851,12532.547205877347,1
2023-04-10 15:00:00,29.943387951161704,29.657704633663972,12225.214339840595,44401.66596499485,12225.214339840595,1
2023-04-10 16:00:00,29.943387951161704,24.657704633663972,10510.266861577664,5161.665964994851,10510.266861577664,1
2023-04-10 17:00:00,29.943387951161704,29.657704633663972,10966.69264138872,44401.66596499485,10966.69264138872,1
2023-04-10 18:00:00,29.943387951161704,24.657704633663972,12369.761711007324,5161.665964994851,12369.761711007324,1
2023-04-10 19:00:00,29.943387951161704,29.657704633663972,12499.55225649672,44401.66596499485,12499.55225649672,1
2023-04-10 20:00:00,29.943387951161704,24.657704633663972,11882.988164701554,5161.665964994851,11882.988164701554,1
2023-04-10 21:00:00,29.943387951161704,29.657704633663972,10689.551861942824,44401.66596499485,10689.551861942824,1
2023-04-10 22:00:00,29.943387951161704,24.657704633663972,8871.93472531698,5161.665964994851,8871.93472531698,1
2023-04-10 23:00:00,29.943387951161704,29.657704633663972,3101.729224036607,44401.66596499485,3101.729224036607,1
2023-04-11 00:00:00,29.929740749819153,24.657704633663972,2724.4952901002175,5161.665964994851,2724.4952901002175,1
2023-04-11 01:00:00,29.929740749819153,29.657704633663972,9664.354178624217,44401.66596499485,9664.354178624217,1
2023-04-11 02:00:00,29.929740749819153,24.657704633663972,15635.75857056386,5161.665964994851,15635.75857056386,1
2023-04-11 03:00:00,29.929740749819153,29.657704633663972,18421.212045468004,44401.66596499485,18421.212045468004,1
2023-04-11 04:00:00,29.929740749819153,24.657704633663972,16646.184771082677,5161.665964994851,16646.184771082677,1
2023-04-11 05:00:00,29.929740749819153,29.657704633663972,19312.495430866747,44401.66596499485,19312.495430866747,1
2023-04-11 06:00:00,29.929740749819153,24.657704633663972,25193.62360941643,5161.665964994851,25193.62360941643,1
2023-04-11 07:00:00,29.929740749819153,29.657704633663972,26476.791632280103,44401.66596499485,26476.791632280103,1
2023-04-11 08:00:00,29.929740749819153,24.657704633663972,23221.351951717323,5161.665964994851,23221.351951717323,1
2023-04-11 09:00:00,29.929740749819153,29.657704633663972,17563.22397427069,44401.66596499485,17563.22397427069,1
2023-04-11 10:00:00,29.929740749819153,24.657704633663972,17172.1520081133,5161.665964994851,17172.1520081133,1
2023-04-11 11:00:00,29.929740749819153,29.657704633663972,9330.499275493832,44401.66596499485,9330.499275493832,1
2023-04-11 12:00:00,29.929740749819153,24.657704633663972,11013.413759117295,5161.665964994851,11013.413759117295,1
2023-04-11 13:00:00,29.929740749819153,29.657704633663972,12088.544882292748,44401.66596499485,12088.544882292748,1
2023-04-11 14:00:00,29.929740749819153,24.657704633663972,12579.895207103478,5161.665964994851,12579.895207103478,1
2023-04-11 15:00:00,29.929740749819153,29.657704633663972,12257.599393305485,44401.66596499485,12257.599393305485,1
2023-04-11 16:00:00,29.929740749819153,24.657704633663972,10530.948852879057,5161.665964994851,10530.948852879057,1
2023-04-11 17:00:00,29.929740749819153,29.657704633663972,11009.484567227088,44401.66596499485,11009.484567227088,1
2023-04-11 18:00:00,29.929740749819153,24.657704633663972,12410.218429299555,5161.665964994851,12410.218429299555,1
2023-04-11 19:00:00,29.929740749819153,29.657704633663972,12547.156716290883,44401.66596499485,12547.156716290883,1
2023-04-11 20:00:00,29.929740749819153,24.657704633663972,11945.920891896327,5161.665964994851,11945.920891896327,1
2023-04-11 21:00:00,29.929740749819153,29.657704633663972,10775.938674014342,44401.66596499485,10775.938674014342,1
2023-04-11 22:00:00,29.929740749819153,24.657704633663972,8990.519413164027,5161.665964994851,8990.519413164027,1
2023-04-11 23:00:00,29.929740749819153,29.657704633663972,3170.0756356597603,44401.66596499485,3170.0756356597603,1
