time,T_out,T_in,Q_solar_total,Cooling_Load_W,SDI,Mask_Target
2023-01-01 00:00:00,25.086066780779174,22.0,4636.971268393991,0.0,0.0,0
2023-01-01 01:00:00,25.086066780779174,27.0,11111.879703275126,23544.0,11111.879703275126,1
2023-01-01 02:00:00,25.086066780779174,22.0,16895.874374207884,0.0,0.0,0
2023-01-01 03:00:00,25.086066780779174,27.0,20679.821264686474,23544.0,20679.821264686474,1
2023-01-01 04:00:00,25.086066780779174,22.0,21994.137185065523,0.0,0.0,0
2023-01-01 05:00:00,25.086066780779174,27.0,24451.861807452577,23544.0,24451.861807452577,1
2023-01-01 06:00:00,25.086066780779174,22.0,27756.939743200386,0.0,0.0,0
2023-01-01 07:00:00,25.086066780779174,27.0,28669.39370368304,23544.0,28669.39370368304,1
2023-01-01 08:00:00,25.086066780779174,22.0,26690.18795055887,0.0,0.0,0
2023-01-01 09:00:00,25.086066780779174,27.0,22213.68363800383,23544.0,22213.68363800383,1
2023-01-01 10:00:00,25.086066780779174,22.0,6787.276644863197,0.0,0.0,0
2023-01-01 11:00:00,25.086066780779174,27.0,6202.350758335615,23544.0,6202.350758335615,1
2023-01-01 12:00:00,25.086066780779174,22.0,5421.134686970299,0.0,0.0,0
2023-01-01 13:00:00,25.086066780779174,27.0,4491.4952022330845,23544.0,4491.4952022330845,1
2023-01-01 14:00:00,25.086066780779174,22.0,3474.575192241793,0.0,0.0,0
2023-01-01 15:00:00,25.086066780779174,27.0,2359.9138073049144,23544.0,2359.9138073049144,1
2023-01-01 16:00:00,25.086066780779174,22.0,990.2540561192322,0.0,0.0,0
2023-01-01 17:00:00,25.086066780779174,27.0,1159.6144594854013,23544.0,1159.6144594854013,1
2023-01-01 18:00:00,25.086066780779174,22.0,2487.0508957440043,0.0,0.0,0
2023-01-01 19:00:00,25.086066780779174,27.0,3584.899314501894,23544.0,3584.899314501894,1
2023-01-01 20:00:00,25.086066780779174,22.0,4593.278111558625,0.0,0.0,0
2023-01-01 21:00:00,25.086066780779174,27.0,5510.1551705318325,23544.0,5510.1551705318325,1
2023-01-01 22:00:00,25.086066780779174,22.0,6272.106822005029,0.0,0.0,0
2023-01-01 23:00:00,25.086066780779174,27.0,6835.590780765504,23544.0,6835.590780765504,1
2023-01-02 00:00:00,25.17210805811373,22.0,4635.0286508003155,0.0,0.0,0
2023-01-02 01:00:00,25.17210805811373,27.0,11102.189528249233,23544.0,11102.189528249233,1
2023-01-02 02:00:00,25.17210805811373,22.0,16884.658133178495,0.0,0.0,0
2023-01-02 03:00:00,25.17210805811373,27.0,20670.915450939996,23544.0,20670.915450939996,1
2023-01-02 04:00:00,25.17210805811373,22.0,21984.493867567664,0.0,0.0,0
2023-01-02 05:00:00,25.17210805811373,27.0,24397.907595136072,23544.0,24397.907595136072,1
2023-01-02 06:00:00,25.17210805811373,22.0,27704.48073085914,0.0,0.0,0
2023-01-02 07:00:00,25.17210805811373,27.0,28625.390257103998,23544.0,28625.390257103998,1
2023-01-02 08:00:00,25.17210805811373,22.0,26656.620052618768,0.0,0.0,0
2023-01-02 09:00:00,25.17210805811373,27.0,22189.327701874863,23544.0,22189.327701874863,1
2023-01-02 10:00:00,25.17210805811373,22.0,6784.413189169483,0.0,0.0,0
2023-01-02 11:00:00,25.17210805811373,27.0,6197.776689119295,23544.0,6197.776689119295,1
2023-01-02 12:00:00,25.17210805811373,22.0,5413.887355085713,0.0,0.0,0
2023-01-02 13:00:00,25.17210805811373,27.0,4480.704013936651,23544.0,4480.704013936651,1
2023-01-02 14:00:00,25.17210805811373,22.0,3460.1931007758294,0.0,0.0,0
2023-01-02 15:00:00,25.17210805811373,27.0,2343.4237273684394,23544.0,2343.4237273684394,1
2023-01-02 16:00:00,25.17210805811373,22.0,974.5988731223927,0.0,0.0,0
2023-01-02 17:00:00,25.17210805811373,27.0,1119.766100202717,23544.0,1119.766100202717,1
2023-01-02 18:00:00,25.17210805811373,22.0,2452.0042598106324,0.0,0.0,0
2023-01-02 19:00:00,25.17210805811373,27.0,3554.1214287867847,23544.0,3554.1214287867847,1
2023-01-02 20:00:00,25.17210805811373,22.0,4567.211583175975,0.0,0.0,0
2023-01-02 21:00:00,25.17210805811373,27.0,5489.467219529728,23544.0,5489.467219529728,1
2023-01-02 22:00:00,25.17210805811373,22.0,6256.928191639987,0.0,0.0,0
2023-01-02 23:00:00,25.17210805811373,27.0,6825.30455326954,23544.0,6825.30455326954,1
2023-01-03 00:00:00,25.25809833611627,22.0,4632.64989015179,0.0,0.0,0
2023-01-03 01:00:00,25.25809833611627,27.0,11091.333668380143,23544.0,11091.333668380143,1
2023-01-03 02:00:00,25.25809833611627,22.0,16871.58433225244,0.0,0.0,0
2023-01-03 03:00:00,25.25809833611627,27.0,20659.504168718937,23544.0,20659.504168718937,1
2023-01-03 04:00:00,25.25809833611627,22.0,21971.849578426358,0.0,0.0,0
2023-01-03 05:00:00,25.25809833611627,27.0,24341.112609460626,23544.0,24341.112609460626,1
2023-01-03 06:00:00,25.25809833611627,22.0,27648.982275537273,0.0,0.0,0
2023-01-03 07:00:00,25.25809833611627,27.0,28578.25366777493,23544.0,28578.25366777493,1
2023-01-03 08:00:00,25.25809833611627,22.0,26619.94683142321,0.0,0.0,0
2023-01-03 09:00:00,25.25809833611627,27.0,22162.062339958342,23544.0,22162.062339958342,1
2023-01-03 10:00:00,25.25809833611627,22.0,6780.902438753535,0.0,0.0,0
2023-01-03 11:00:00,25.25809833611627,27.0,6192.244014547161,23544.0,6192.244014547161,1
2023-01-03 12:00:00,25.25809833611627,22.0,5405.3042090173485,0.0,0.0,0
2023-01-03 13:00:00,25.25809833611627,27.0,4468.169266160847,23544.0,4468.169266160847,1
2023-01-03 14:00:00,25.25809833611627,22.0,3443.677635143269,0.0,0.0,0
2023-01-03 15:00:00,25.25809833611627,27.0,2324.469849187556,23544.0,2324.469849187556,1
2023-01-03 16:00:00,25.25809833611627,22.0,956.2244123731223,0.0,0.0,0
2023-01-03 17:00:00,25.25809833611627,27.0,1077.4796892695383,23544.0,1077.4796892695383,1
2023-01-03 18:00:00,25.25809833611627,22.0,2414.6728227072017,0.0,0.0,0
2023-01-03 19:00:00,25.25809833611627,27.0,3521.3322141972412,23544.0,3521.3322141972412,1
2023-01-03 20:00:00,25.25809833611627,22.0,4539.49256409438,0.0,0.0,0
2023-01-03 21:00:00,25.25809833611627,27.0,5467.511517580742,23544.0,5467.511517580742,1
2023-01-03 22:00:00,25.25809833611627,22.0,6240.836701253962,0.0,0.0,0
2023-01-03 23:00:00,25.25809833611627,27.0,6814.396174465149,23544.0,6814.396174465149,1
