time,T_out,T_in,Q_solar_total,Cooling_Load_W,SDI,Mask_Target
2023-01-01 00:00:00,25.086066780779174,22.0,4633.586156872628,0.0,0.0,0
2023-01-01 01:00:00,25.086066780779174,27.0,11105.661435368722,23544.0,11105.661435368722,1
2023-01-01 02:00:00,25.086066780779174,22.0,16889.596571180384,0.0,0.0,0
2023-01-01 03:00:00,25.086066780779174,27.0,20676.364943084216,23544.0,20676.364943084216,1
2023-01-01 04:00:00,25.086066780779174,22.0,21994.492970502823,0.0,0.0,0
2023-01-01 05:00:00,25.086066780779174,27.0,24450.867749853314,23544.0,24450.867749853314,1
2023-01-01 06:00:00,25.086066780779174,22.0,27746.44765685407,0.0,0.0,0
2023-01-01 07:00:00,25.086066780779174,27.0,28651.264302797612,23544.0,28651.264302797612,1
2023-01-01 08:00:00,25.086066780779174,22.0,26670.14808449557,0.0,0.0,0
2023-01-01 09:00:00,25.086066780779174,27.0,22196.621747812485,23544.0,22196.621747812485,1
2023-01-01 10:00:00,25.086066780779174,22.0,6782.321753612131,0.0,0.0,0
2023-01-01 11:00:00,25.086066780779174,27.0,6197.822878433773,23544.0,6197.822878433773,1
2023-01-01 12:00:00,25.086066780779174,22.0,5417.177115438035,0.0,0.0,0
2023-01-01 13:00:00,25.086066780779174,27.0,4488.216292083078,23544.0,4488.216292083078,1
2023-01-01 14:00:00,25.086066780779174,22.0,3472.03866056318,0.0,0.0,0
2023-01-01 15:00:00,25.086066780779174,27.0,2358.1910078834508,23544.0,2358.1910078834508,1
2023-01-01 16:00:00,25.086066780779174,22.0,989.531144498603,0.0,0.0,0
2023-01-01 17:00:00,25.086066780779174,27.0,1158.7679102963,23544.0,1158.7679102963,1
2023-01-01 18:00:00,25.086066780779174,22.0,2485.235282889384,0.0,0.0,0
2023-01-01 19:00:00,25.086066780779174,27.0,3582.282243299584,23544.0,3582.282243299584,1
2023-01-01 20:00:00,25.086066780779174,22.0,4589.924897195999,0.0,0.0,0
2023-01-01 21:00:00,25.086066780779174,27.0,5506.132611694902,23544.0,5506.132611694902,1
2023-01-01 22:00:00,25.086066780779174,22.0,6267.528018333955,0.0,0.0,0
2023-01-01 23:00:00,25.086066780779174,27.0,6830.600618918908,23544.0,6830.600618918908,1
2023-01-02 00:00:00,25.17210805811373,22.0,4631.6449574411145,0.0,0.0,0
2023-01-02 01:00:00,25.17210805811373,27.0,11095.970057573712,23544.0,11095.970057573712,1
2023-01-02 02:00:00,25.17210805811373,22.0,16878.37422911667,0.0,0.0,0
2023-01-02 03:00:00,25.17210805811373,27.0,20667.457544911493,23544.0,20667.457544911493,1
2023-01-02 04:00:00,25.17210805811373,22.0,21984.869825418355,0.0,0.0,0
2023-01-02 05:00:00,25.17210805811373,27.0,24397.014247367628,23544.0,24397.014247367628,1
2023-01-02 06:00:00,25.17210805811373,22.0,27694.08494513116,0.0,0.0,0
2023-01-02 07:00:00,25.17210805811373,27.0,28607.31367762974,23544.0,28607.31367762974,1
2023-01-02 08:00:00,25.17210805811373,22.0,26636.599983531472,0.0,0.0,0
2023-01-02 09:00:00,25.17210805811373,27.0,22172.26961905584,23544.0,22172.26961905584,1
2023-01-02 10:00:00,25.17210805811373,22.0,6779.460388316718,0.0,0.0,0
2023-01-02 11:00:00,25.17210805811373,27.0,6193.252148408816,23544.0,6193.252148408816,1
2023-01-02 12:00:00,25.17210805811373,22.0,5409.935074297178,0.0,0.0,0
2023-01-02 13:00:00,25.17210805811373,27.0,4477.432981639173,23544.0,4477.432981639173,1
2023-01-02 14:00:00,25.17210805811373,22.0,3457.66706840392,0.0,0.0,0
2023-01-02 15:00:00,25.17210805811373,27.0,2341.71296614095,23544.0,2341.71296614095,1
2023-01-02 16:00:00,25.17210805811373,22.0,973.887390198916,0.0,0.0,0
2023-01-02 17:00:00,25.17210805811373,27.0,1118.9486413685715,23544.0,1118.9486413685715,1
2023-01-02 18:00:00,25.17210805811373,22.0,2450.214231926075,0.0,0.0,0
2023-01-02 19:00:00,25.17210805811373,27.0,3551.526826254111,23544.0,3551.526826254111,1
