time,T_out,T_in,Q_solar_W,Cooling_Load_W,Heating_Load_W,Illuminance_in_lux,Occupied,DGP
2018-01-01 00:00:00+08:00,15.0,22.0,0.0,0.0,0.0,0.0,0,0.18044625647846568
2018-01-01 01:00:00+08:00,15.0,17.0,0.0,0.0,35640.0,0.0,0,0.18044625647846568
2018-01-01 02:00:00+08:00,15.0,22.0,0.0,0.0,0.0,0.0,0,0.18044625647846568
2018-01-01 03:00:00+08:00,15.1,17.0,0.0,0.0,35640.0,0.0,0,0.18044625647846568
2018-01-01 04:00:00+08:00,15.1,22.0,0.0,0.0,0.0,0.0,0,0.18044625647846568
2018-01-01 05:00:00+08:00,15.2,17.0,0.0,0.0,35640.0,0.0,0,0.18044625647846568
2018-01-01 06:00:00+08:00,13.0,22.0,0.0,0.0,0.0,0.0,0,0.18044625647846568
2018-01-01 07:00:00+08:00,14.5,17.0,0.0,0.0,35640.0,0.0,0,0.18044625647846568
2018-01-01 08:00:00+08:00,15.1,22.0,113198.61561606562,0.0,0.0,444.0372626459559,1,0.22625495403896587
2018-01-01 09:00:00+08:00,15.9,17.0,163782.2333409324,0.0,35640.0,619.2571715581761,1,0.23796740973831831
2018-01-01 10:00:00+08:00,16.8,22.0,189637.5874444009,0.0,0.0,674.5785968480918,1,0.24158830905830597
2018-01-01 11:00:00+08:00,17.6,27.0,201169.5112830807,35640.0,0.0,645.1462124113608,1,0.23966555604910697
2018-01-01 12:00:00+08:00,18.0,22.0,192085.37487183246,0.0,0.0,557.9620910311673,1,0.23391794430633356
2018-01-01 13:00:00+08:00,18.3,27.0,158056.22003269813,35640.0,0.0,430.4817899780681,1,0.225328238513469
2018-01-01 14:00:00+08:00,18.7,22.0,99049.1721364131,0.0,0.0,274.79796689655683,1,0.21433082823546454
2018-01-01 15:00:00+08:00,18.5,27.0,57166.41033218306,35640.0,0.0,185.15662963697332,1,0.20749192833383773
