time,T_out,T_in,Q_solar_W,Cooling_Load_W,Heating_Load_W,Illuminance_in_lux,Occupied,DGP
2018-01-01 00:00:00+08:00,18.0,22.0,0.0,0.0,0.0,0.0,0,0.18044625647846568
2018-01-01 01:00:00+08:00,18.0,17.0,0.0,0.0,35640.0,0.0,0,0.18044625647846568
2018-01-01 02:00:00+08:00,18.0,22.0,0.0,0.0,0.0,0.0,0,0.18044625647846568
2018-01-01 03:00:00+08:00,18.1,17.0,0.0,0.0,35640.0,0.0,0,0.18044625647846568
2018-01-01 04:00:00+08:00,18.1,22.0,0.0,0.0,0.0,0.0,0,0.18044625647846568
2018-01-01 05:00:00+08:00,18.2,17.0,0.0,0.0,35640.0,0.0,0,0.18044625647846568
2018-01-01 06:00:00+08:00,16.0,22.0,0.0,0.0,0.0,0.0,0,0.18044625647846568
2018-01-01 07:00:00+08:00,17.5,17.0,0.0,0.0,35640.0,0.0,0,0.18044625647846568
2018-01-01 08:00:00+08:00,18.1,22.0,115958.18584921991,0.0,0.0,456.9346288156117,1,0.2271333202594449
2018-01-01 09:00:00+08:00,18.9,22.68087208937549,168448.7120381635,0.0,0.0,637.7108652018786,1,0.23917853002323947
2018-01-01 10:00:00+08:00,19.8,27.68087208937549,195440.2500027907,43728.76042178083,0.0,694.8133338594554,1,0.2429057187557869
2018-01-01 11:00:00+08:00,20.6,22.68087208937549,207598.80470221644,0.0,0.0,664.7366687429507,1,0.24094624197756181
2018-01-01 12:00:00+08:00,21.0,27.68087208937549,198243.84353735475,43728.76042178083,0.0,574.5379974609663,1,0.23501735472462942
2018-01-01 13:00:00+08:00,21.3,22.68087208937549,163104.7265676,0.0,0.0,443.1523889698005,1,0.2261945724770802
2018-01-01 14:00:00+08:00,21.7,27.68087208937549,101990.21619822405,43728.76042178083,0.0,283.219627065924,1,0.21494796666338037
2018-01-01 15:00:00+08:00,21.5,22.68087208937549,58821.83095722317,0.0,0.0,190.6262740919456,1,0.2079274371336106
2018-01-01 16:00:00+08:00,21.4,27.68087208937549,52033.16750738056,43728.76042178083,0.0,177.9253950175663,1,0.2069113247808213
2018-01-01 17:00:00+08:00,21.2,22.68087208937549,4115.521303911223,0.0,0.0,9.850207731018365,1,0.18708848427023678
2018-01-01 18:00:00+08:00,20.5,27.68087208937549,1287.618324167176,43728.76042178083,0.0,5.03784021451407,1,0.18486349403265248
2018-01-01 19:00:00+08:00,19.9,22.68087208937549,0.0,0.0,0.0,0.0,1,0.18044625647846568
2018-01-01 20:00:00+08:00,19.2,27.68087208937549,0.0,43728.76042178083,0.0,0.0,1,0.18044625647846568
2018-01-01 21:00:00+08:00,18.8,22.68087208937549,0.0,0.0,0.0,0.0,1,0.18044625647846568
2018-01-01 22:00:00+08:00,18.4,27.68087208937549,0.0,43728.76042178083,0.0,0.0,0,0.18044625647846568
2018-01-01 23:00:00+08:00,18.0,22.68087208937549,0.0,0.0,0.0,0.0,0,0.18044625647846568
2018-01-02 00:00:00+08:00,18.2,26.66894755896216,0.0,31707.097000470454,0.0,0.0,0,0.18044625647846568
2018-01-02 01:00:00+08:00,18.5,21.66894755896216,0.0,0.0,0.0,0.0,0,0.18044625647846568
2018-01-02 02:00:00+08:00,18.7,26.66894755896216,0.0,31707.097000470454,0.0,0.0,0,0.18044625647846568
2018-01-02 03:00:00+08:00,18.8,21.66894755896216,0.0,0.0,0.0,0.0,0,0.18044625647846568
2018-01-02 04:00:00+08:00,18.9,26.66894755896216,0.0,31707.097000470454,0.0,0.0,0,0.18044625647846568
2018-01-02 05:00:00+08:00,19.0,21.66894755896216,0.0,0.0,0.0,0.0,0,0.18044625647846568
2018-01-02 06:00:00+08:00,18.8,26.66894755896216,0.0,31707.097000470454,0.0,0.0,0,0.18044625647846568
2018-01-02 07:00:00+08:00,18.7,21.66894755896216,0.0,0.0,0.0,0.0,0,0.18044625647846568
2018-01-02 08:00:00+08:00,19.0,26.66894755896216,56918.32687322517,31707.097000470454,0.0,219.10933990623607,1,0.21015082839213992
2018-01-02 09:00:00+08:00,20.3,21.66894755896216,106321.21140729531,0.0,0.0,392.60156973564636,1,0.22271745659575937
2018-01-02 10:00:00+08:00,21.7,26.66894755896216,145023.3811913772,31707.097000470454,0.0,505.1288925730777,1,0.23038940232102573
2018-01-02 11:00:00+08:00,23.0,26.80714314933788,179110.93263482,33348.860614134,0.0,566.3794396432952,1,0.2344766557791295
2018-01-02 12:00:00+08:00,23.7,31.80714314933788,175061.539826079,92748.860614134,0.0,501.1294328998936,1,0.2301206464331494
2018-01-02 13:00:00+08:00,24.3,26.80714314933788,127435.84417325,33348.860614134,0.0,336.98770708376713,1,0.21881739688052387
